Year,Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,OPP,,,,,,,
1937,Jake Powell,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,-0.01,-0.001,NY Giants,,,,,,,
1937,Red Rolfe,5,20,3,6,2,1,0,1,3,2,0.3,0.391,0.5,0.891,0,0,0,0.04,-0.007,NY Giants,,,,,,,
1937,Red Ruffing,1,4,0,2,1,0,0,3,0,0,0.5,0.5,0.75,1.25,0,0,0,0.09,0.024,NY Giants,,,,,,,
1937,George Selkirk,5,19,5,5,1,0,0,6,2,0,0.263,0.333,0.316,0.649,0,0,0,0.3,0.082,NY Giants,,,,,,,
1937,Kemp Wicker,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1938,Frankie Crosetti,4,16,1,4,2,1,1,6,2,4,0.25,0.368,0.688,1.056,0,1,1,0.45,0.114,Cubs,,,,,,,
1938,Bill Dickey,4,15,2,6,0,0,1,2,1,0,0.4,0.438,0.6,1.038,1,0,0,-0.01,0.023,Cubs,,,,,,,
1938,Joe DiMaggio,4,15,4,4,0,0,1,2,1,1,0.267,0.313,0.467,0.779,0,0,0,0.04,0.005,Cubs,,,,,,,
1938,Lou Gehrig,4,14,4,4,0,0,0,0,2,3,0.286,0.375,0.286,0.661,0,0,0,0.05,0.008,Cubs,,,,,,,
1938,Lefty Gomez,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.015,Cubs,,,,,,,
1938,Joe Gordon,4,15,3,6,2,0,1,6,1,3,0.4,0.438,0.733,1.171,1,0,2,0.37,0.109,Cubs,,,,,,,
1938,Tommy Henrich,4,16,3,4,1,0,1,1,0,1,0.25,0.25,0.5,0.75,0,1,1,-0.14,-0.036,Cubs,,,,,,,
1938,Myril Hoag,2,5,3,2,1,0,0,1,0,0,0.4,0.4,0.6,1,0,0,0,-0.02,-0.013,Cubs,,,,,,,
1938,Johnny Murphy,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cubs,,,,,,,
1938,Monte Pearson,1,3,1,1,0,0,0,0,1,0,0.333,0.5,0.333,0.833,0,0,0,0.01,0.003,Cubs,,,,,,,
1938,Jake Powell,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cubs,,,,,,,
1938,Red Rolfe,4,18,0,3,0,0,0,1,0,3,0.167,0.167,0.167,0.333,1,0,2,-0.05,-0.021,Cubs,,,,,,,
1938,Red Ruffing,2,6,1,1,0,0,0,1,1,0,0.167,0.286,0.167,0.452,0,0,0,-0.03,-0.026,Cubs,,,,,,,
1938,George Selkirk,3,10,0,2,0,0,0,1,2,1,0.2,0.333,0.2,0.533,0,0,0,0,0.004,Cubs,,,,,,,
1939,Frankie Crosetti,4,16,2,1,0,0,0,1,2,2,0.063,0.167,0.063,0.229,0,0,0,-0.15,-0.030,Reds,,,,,,,
1939,Babe Dahlgren,4,14,2,3,2,0,1,2,0,4,0.214,0.214,0.571,0.786,0,0,0,-0.02,0.030,Reds,,,,,,,
1939,Bill Dickey,4,15,2,4,0,0,2,5,1,2,0.267,0.313,0.667,0.979,0,0,0,0.43,0.082,Reds,,,,,,,
1939,Joe DiMaggio,4,16,3,5,0,0,1,3,1,1,0.313,0.353,0.5,0.853,0,0,0,0.48,0.070,Reds,,,,,,,
1939,Lefty Gomez,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.01,-0.003,Reds,,,,,,,
1939,Joe Gordon,4,14,1,2,0,0,0,1,0,2,0.143,0.143,0.143,0.286,0,0,0,0.01,-0.014,Reds,,,,,,,
1939,Bump Hadley,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.03,-0.008,Reds,,,,,,,
1939,Oral Hildebrand,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.01,-0.001,Reds,,,,,,,
1939,Charlie Keller,4,16,8,7,1,1,3,6,1,2,0.438,0.471,1.188,1.658,0,0,0,0.98,0.214,Reds,,,,,,,
1939,Johnny Murphy,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-0.018,Reds,,,,,,,
1939,Monte Pearson,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.03,-0.008,Reds,,,,,,,
1939,Red Rolfe,4,16,2,2,0,0,0,0,0,0,0.125,0.125,0.125,0.25,0,0,1,-0.31,-0.069,Reds,,,,,,,
1939,Red Ruffing,1,3,0,1,0,0,0,0,0,1,0.333,0.333,0.333,0.667,0,0,0,-0.07,-0.020,Reds,,,,,,,
1939,George Selkirk,4,12,0,2,1,0,0,0,3,2,0.167,0.333,0.25,0.583,0,0,0,-0.15,-0.040,Reds,,,,,,,
1939,Steve Sundra,1,0,0,0,0,0,0,0,1,0,,1,,,0,0,0,0.04,0.004,Reds,,,,,,,
1941,Tiny Bonham,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.09,-0.020,Bklyn Dodgers,,,,,,,
1941,Frenchy Bordagaray,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0.000,Bklyn Dodgers,,,,,,,
1941,Marv Breuer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.009,Bklyn Dodgers,,,,,,,
1941,Spud Chandler,1,2,0,1,0,0,0,1,0,0,0.5,0.5,0.5,1,0,0,0,0.03,0.009,Bklyn Dodgers,,,,,,,
1941,Bill Dickey,5,18,3,3,1,0,0,1,3,1,0.167,0.286,0.222,0.508,0,0,0,0.01,-0.017,Bklyn Dodgers,,,,,,,
1941,Joe DiMaggio,5,19,1,5,0,0,0,1,2,2,0.263,0.333,0.263,0.596,0,0,0,-0.01,0.024,Bklyn Dodgers,,,,,,,
1941,Atley Donald,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.08,-0.033,Bklyn Dodgers,,,,,,,
